id,signal_id,horizon,target_at,observed_at,price_usd,raw_return_pct,estimated_cost_pct,net_return_pct,delayed_raw_return_pct,delayed_net_return_pct,btc_return_pct,eth_return_pct,top100_equal_return_pct,matched_all_passing_median_return_pct,source
16,4,15m,2026-05-10T18:24:26+00:00,2026-05-10T19:35:24+00:00,0.008465,2.4570321955942775,0.5,1.9570321955942775,,,0.01858497628401956,0.025812029014815607,0.3295422437170697,-38.19549952122566,dexscreener_pair
17,4,30m,2026-05-10T18:39:26+00:00,2026-05-10T19:35:24+00:00,0.008465,2.4570321955942775,0.5,1.9570321955942775,,,0.01858497628401956,0.025812029014815607,0.3295422437170697,-38.131662942866264,dexscreener_pair
18,4,1h,2026-05-10T19:09:26+00:00,2026-05-10T19:35:24+00:00,0.008465,2.4570321955942775,0.5,1.9570321955942775,,,0.01858497628401956,0.025812029014815607,0.3295422437170697,-38.131662942866264,dexscreener_pair
19,5,15m,2026-05-10T18:24:26+00:00,2026-05-10T19:35:24+00:00,0.008465,2.4570321955942775,0.5,1.9570321955942775,,,0.01858497628401956,0.025812029014815607,0.3295422437170697,-38.19549952122566,dexscreener_pair
20,5,30m,2026-05-10T18:39:26+00:00,2026-05-10T19:35:24+00:00,0.008465,2.4570321955942775,0.5,1.9570321955942775,,,0.01858497628401956,0.025812029014815607,0.3295422437170697,-38.131662942866264,dexscreener_pair
21,5,1h,2026-05-10T19:09:26+00:00,2026-05-10T19:35:24+00:00,0.008465,2.4570321955942775,0.5,1.9570321955942775,,,0.01858497628401956,0.025812029014815607,0.3295422437170697,-38.131662942866264,dexscreener_pair
22,4,2h,2026-05-10T20:09:26+00:00,2026-05-10T21:08:02+00:00,0.007577,-8.290970709271361,0.5,-8.790970709271361,-10.490253987005316,-10.990253987005316,-0.7144187611655917,-1.3367177117153628,-1.3871271297799688,-45.82397063517396,dexscreener_pair
23,5,2h,2026-05-10T20:09:26+00:00,2026-05-10T21:08:02+00:00,0.007577,-8.290970709271361,0.5,-8.790970709271361,-10.490253987005316,-10.990253987005316,-0.7144187611655917,-1.3367177117153628,-1.3871271297799688,-45.82397063517396,dexscreener_pair
24,1,8h,2026-05-10T22:55:06+00:00,2026-05-10T23:11:00+00:00,2.378e-07,-92.40983083306735,0.5,-92.90983083306735,-87.81762295081967,-88.31762295081967,1.6751452673619216,2.0520057258383684,1.2289885710923236,,dexscreener_pair
25,2,8h,2026-05-10T22:55:06+00:00,2026-05-10T23:11:00+00:00,2.378e-07,-92.40983083306735,0.5,-92.90983083306735,-87.81762295081967,-88.31762295081967,1.6751452673619216,2.0520057258383684,1.2289885710923236,-92.90983083306735,dexscreener_pair
26,3,8h,2026-05-10T22:55:06+00:00,2026-05-10T23:11:00+00:00,2.378e-07,-92.40983083306735,0.5,-92.90983083306735,-87.81762295081967,-88.31762295081967,1.6751452673619216,2.0520057258383684,1.2289885710923236,-92.90983083306735,dexscreener_pair
27,4,4h,2026-05-10T22:09:26+00:00,2026-05-10T23:11:00+00:00,0.007455,-9.767610748002909,0.5,-10.267610748002909,-11.931482575310104,-12.431482575310104,1.124104957245775,0.6528453240328469,-0.20589847315454524,-42.44063198212575,dexscreener_pair
28,5,4h,2026-05-10T22:09:26+00:00,2026-05-10T23:11:00+00:00,0.007455,-9.767610748002909,0.5,-10.267610748002909,-11.931482575310104,-12.431482575310104,1.124104957245775,0.6528453240328469,-0.20589847315454524,-42.44063198212575,dexscreener_pair
29,4,8h,2026-05-11T02:09:26+00:00,2026-05-11T04:38:29+00:00,0.008282,0.24207213749696255,0.5,-0.25792786250303745,-2.161842882457188,-2.661842882457188,-0.7682489610574272,-1.2921510974197026,-1.3752735638904585,-92.90983083306735,dexscreener_pair
30,5,8h,2026-05-11T02:09:26+00:00,2026-05-11T04:38:29+00:00,0.008282,0.24207213749696255,0.5,-0.25792786250303745,-2.161842882457188,-2.661842882457188,-0.7682489610574272,-1.2921510974197026,-1.3752735638904585,-92.90983083306735,dexscreener_pair
31,1,24h,2026-05-11T14:55:06+00:00,2026-05-11T16:12:32+00:00,2.378e-07,-92.40983083306735,0.5,-92.90983083306735,-87.81762295081967,-88.31762295081967,0.8413599745569877,0.29697777049473295,0.5847969401859039,,dexscreener_pair
32,2,24h,2026-05-11T14:55:06+00:00,2026-05-11T16:12:32+00:00,2.378e-07,-92.40983083306735,0.5,-92.90983083306735,-87.81762295081967,-88.31762295081967,0.8413599745569877,0.29697777049473295,0.5847969401859039,-92.90983083306735,dexscreener_pair
33,3,24h,2026-05-11T14:55:06+00:00,2026-05-11T16:12:32+00:00,2.378e-07,-92.40983083306735,0.5,-92.90983083306735,-87.81762295081967,-88.31762295081967,0.8413599745569877,0.29697777049473295,0.5847969401859039,-92.90983083306735,dexscreener_pair
