id,token_address,chain,provider,security_score,is_honeypot,cannot_sell,is_blacklisted,trading_disabled,is_mintable,is_proxy,owner_renounced,blacklist_function,dangerous_owner_permissions,buy_tax,sell_tax,top_holder_pct,top_10_holder_pct,lp_locked_pct,lp_burned_pct,risk_flags,raw_json,scan_time
211,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T12:06:48+00:00
214,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T13:57:29+00:00
215,0xf41FaaCdD6b1D0Db127Ec16572B1CAC861F75544,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T13:57:29+00:00
219,0xE59e90e01eBa2754a2EA80AbDb617D4ec7661fF7,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T13:57:29+00:00
222,0x519D57CD8D6436Ed38B3803F85b3681bE44BCC07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T13:57:29+00:00
225,0xD98832e8a59156AcBEe4744B9A94A9989a728f36,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T13:57:29+00:00
226,0x8be807073C8b9831cB4afe98CDb407E8B7896Ba3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T13:57:29+00:00
234,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T13:57:29+00:00
237,0xECE5d962d17901ef200Da050C7c74AB45C96Db07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T13:57:29+00:00
238,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T13:57:29+00:00
240,0xF2270F70E4D5AA860337CF1E698b155aDd6E692D,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T14:55:06+00:00
243,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T14:55:06+00:00
247,0xE59e90e01eBa2754a2EA80AbDb617D4ec7661fF7,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T14:55:06+00:00
251,0xFC42E94C8F2873D10AD852588F7a2b84E0F63b07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T14:55:06+00:00
253,0xD98832e8a59156AcBEe4744B9A94A9989a728f36,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T14:55:06+00:00
254,0x8be807073C8b9831cB4afe98CDb407E8B7896Ba3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T14:55:06+00:00
261,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T14:55:06+00:00
264,0x4aDcB020228Cff4bFAD4e74C1f890af59d9BbbA3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T14:55:06+00:00
265,0xECE5d962d17901ef200Da050C7c74AB45C96Db07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T14:55:06+00:00
266,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T14:55:06+00:00
268,0xCC80a655FED2907Edb40B98934bc6fa28418AB07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T15:15:57+00:00
269,0xF2270F70E4D5AA860337CF1E698b155aDd6E692D,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T15:15:57+00:00
273,0xE59e90e01eBa2754a2EA80AbDb617D4ec7661fF7,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T15:15:57+00:00
277,0xFC42E94C8F2873D10AD852588F7a2b84E0F63b07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T15:15:57+00:00
279,0xD98832e8a59156AcBEe4744B9A94A9989a728f36,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T15:15:57+00:00
280,0x8be807073C8b9831cB4afe98CDb407E8B7896Ba3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T15:15:57+00:00
287,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T15:15:57+00:00
290,0x4aDcB020228Cff4bFAD4e74C1f890af59d9BbbA3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T15:15:57+00:00
291,0xECE5d962d17901ef200Da050C7c74AB45C96Db07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T15:15:57+00:00
292,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T15:15:57+00:00
296,0xEfd2Cf7352b502B2eEDBFc40AAA502caCAAc185b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T16:12:55+00:00
298,0xE59e90e01eBa2754a2EA80AbDb617D4ec7661fF7,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T16:12:55+00:00
302,0xFC42E94C8F2873D10AD852588F7a2b84E0F63b07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T16:12:55+00:00
304,0xD98832e8a59156AcBEe4744B9A94A9989a728f36,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T16:12:55+00:00
305,0x8be807073C8b9831cB4afe98CDb407E8B7896Ba3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T16:12:55+00:00
307,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T16:12:55+00:00
312,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T16:12:55+00:00
315,0x4aDcB020228Cff4bFAD4e74C1f890af59d9BbbA3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T16:12:55+00:00
316,0xECE5d962d17901ef200Da050C7c74AB45C96Db07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T16:12:55+00:00
317,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T16:12:55+00:00
318,0x5Af9664c323152350e1B94E5DDD4AC0dEE2c0B07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T17:15:12+00:00
319,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T17:15:12+00:00
321,0xEfd2Cf7352b502B2eEDBFc40AAA502caCAAc185b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T17:15:12+00:00
323,0xE59e90e01eBa2754a2EA80AbDb617D4ec7661fF7,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T17:15:12+00:00
327,0xFC42E94C8F2873D10AD852588F7a2b84E0F63b07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T17:15:12+00:00
329,0xD98832e8a59156AcBEe4744B9A94A9989a728f36,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T17:15:12+00:00
330,0x8be807073C8b9831cB4afe98CDb407E8B7896Ba3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T17:15:12+00:00
332,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T17:15:12+00:00
337,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T17:15:12+00:00
340,0x4aDcB020228Cff4bFAD4e74C1f890af59d9BbbA3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T17:15:12+00:00
341,0xECE5d962d17901ef200Da050C7c74AB45C96Db07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T17:15:12+00:00
342,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T17:15:12+00:00
344,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T18:09:26+00:00
346,0xEfd2Cf7352b502B2eEDBFc40AAA502caCAAc185b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T18:09:26+00:00
351,0xFC42E94C8F2873D10AD852588F7a2b84E0F63b07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T18:09:26+00:00
353,0x8be807073C8b9831cB4afe98CDb407E8B7896Ba3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T18:09:26+00:00
