id,token_address,symbol,pair_id,original_label,horizon,max_future_return_pct,return_at_horizon_pct,reject_reasons,liquidity_at_scan,volume_at_scan,pair_age_hours_at_scan,price_change_1h_at_scan,security_score,fdv,fdv_liquidity_ratio,tradability_score,tradability_label,should_be_high_risk_momentum,main_lesson,created_at
13442,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,DEGEN,base:0xc9034c3E7F58003E6ae0C8438e7c8f4598d5ACAA,Watchlist,1h,67.13554987212275,67.13554987212275,[],882917.64,110786.47,20588.071906247776,3.17,,28804506.0,32.62422755535839,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13441,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,DEGEN,base:0xc9034c3E7F58003E6ae0C8438e7c8f4598d5ACAA,Watchlist,30m,67.13554987212275,67.13554987212275,[],882917.64,110786.47,20588.071906247776,3.17,,28804506.0,32.62422755535839,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13440,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,DEGEN,base:0xc9034c3E7F58003E6ae0C8438e7c8f4598d5ACAA,Watchlist,15m,67.13554987212275,67.13554987212275,[],882917.64,110786.47,20588.071906247776,3.17,,28804506.0,32.62422755535839,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13439,0xe996BC8c627F448C02045eEEE1636437f3F5De46,COBOT,base:0x048b53cd77801e54c551ceb26b806e4003c1b85344dc724fc9ce2b30d2a53185,Momentum Trap,2h,120.13317665491576,120.13317665491576,"[""early_extreme_overextension"",""too_early_after_large_pump""]",168324.85,488223.89,0.6063506922222223,3441.0,,510643.0,3.0336756575158095,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13438,0xe996BC8c627F448C02045eEEE1636437f3F5De46,COBOT,base:0x048b53cd77801e54c551ceb26b806e4003c1b85344dc724fc9ce2b30d2a53185,Momentum Trap,1h,120.13317665491576,120.13317665491576,"[""early_extreme_overextension"",""too_early_after_large_pump""]",168324.85,488223.89,0.6063506922222223,3441.0,,510643.0,3.0336756575158095,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13437,0xe996BC8c627F448C02045eEEE1636437f3F5De46,COBOT,base:0x048b53cd77801e54c551ceb26b806e4003c1b85344dc724fc9ce2b30d2a53185,Momentum Trap,30m,120.13317665491576,120.13317665491576,"[""early_extreme_overextension"",""too_early_after_large_pump""]",168324.85,488223.89,0.6063506922222223,3441.0,,510643.0,3.0336756575158095,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13436,0xe996BC8c627F448C02045eEEE1636437f3F5De46,COBOT,base:0x048b53cd77801e54c551ceb26b806e4003c1b85344dc724fc9ce2b30d2a53185,Momentum Trap,15m,120.13317665491576,120.13317665491576,"[""early_extreme_overextension"",""too_early_after_large_pump""]",168324.85,488223.89,0.6063506922222223,3441.0,,510643.0,3.0336756575158095,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13435,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,DEGEN,base:0xc9034c3E7F58003E6ae0C8438e7c8f4598d5ACAA,Watchlist,4h,74.75598342024334,74.75598342024334,[],850258.59,108920.61,20585.595970471943,1.41,,27545115.0,32.39616197232421,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13434,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,DEGEN,base:0xc9034c3E7F58003E6ae0C8438e7c8f4598d5ACAA,Watchlist,24h,78.91854893908281,78.91854893908281,[],833153.85,194849.87,20565.059757204723,-0.72,,26910730.0,32.29983273797511,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13433,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,DEGEN,base:0xc9034c3E7F58003E6ae0C8438e7c8f4598d5ACAA,Watchlist,4h,50.76726342710995,50.76726342710995,[],882917.64,110786.47,20588.071906247776,3.17,,28804506.0,32.62422755535839,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13432,0xe996BC8c627F448C02045eEEE1636437f3F5De46,COBOT,base:0x048b53cd77801e54c551ceb26b806e4003c1b85344dc724fc9ce2b30d2a53185,Momentum Trap,4h,55.81668625146885,55.81668625146885,"[""early_extreme_overextension"",""too_early_after_large_pump""]",168324.85,488223.89,0.6063506922222223,3441.0,,510643.0,3.0336756575158095,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13431,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,DEGEN,base:0xc9034c3E7F58003E6ae0C8438e7c8f4598d5ACAA,Watchlist,24h,61.5953947368421,61.5953947368421,[],833043.27,203294.36,20567.63836030861,-0.5,,26872015.0,32.257646112428226,75.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13430,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,DEGEN,base:0xc9034c3E7F58003E6ae0C8438e7c8f4598d5ACAA,Watchlist,8h,54.83353389490573,54.83353389490573,[],850258.59,108920.61,20585.595970471943,1.41,,27545115.0,32.39616197232421,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
13429,0xFa507Bf8dfb7649F3c567901215b224e77f4163E,WAVE,base:0x7e8cfb89dac73a43f69c4343bb85da23158115664f6a749d6bdda056f9d84f3f,Momentum Trap,30m,67.19745222929936,67.19745222929936,"[""early_extreme_overextension"",""too_early_after_large_pump""]",84383.22,189104.6,0.5049179169444444,873.0,,157022.0,1.8608201962428075,70.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-18T04:43:51+00:00
